serie,fecha,h,p5,p50,p95,ancho_rel
X,2023-09-30,1,77.07,85.68,92.17,0.1763
X,2023-10-31,2,69.34,87.12,99.34,0.3443
X,2023-11-30,3,58.65,83.01,100.91,0.5091
Y,2023-09-30,1,499.91,550.5,576.06,0.1383
Y,2023-10-31,2,468.98,537.48,566.94,0.1823
Y,2023-11-30,3,441.03,513.05,652.18,0.4116
Z,2023-09-30,1,1994.66,2162.48,2328.59,0.1544
Z,2023-10-31,2,2013.21,2144.26,2401.24,0.181
Z,2023-11-30,3,2000.31,2168.38,2362.93,0.1672
Equipo1,2023-09-30,1,416.4,458.29,478.99,0.1366
Equipo1,2023-10-31,2,392.06,446.77,472.37,0.1798
Equipo1,2023-11-30,3,368.8,424.62,538.74,0.4002
Equipo2,2023-09-30,1,858.92,929.69,994.74,0.1461
Equipo2,2023-10-31,2,859.87,922.55,1018.61,0.1721
Equipo2,2023-11-30,3,841.77,922.78,1013.75,0.1864
