serie,fecha,h,p5,p50,p95,ancho_rel
X,2023-09-30,1,77.15,85.67,92.07,0.1742
X,2023-10-31,2,69.87,87.06,98.92,0.3336
X,2023-11-30,3,59.54,83.05,101.29,0.5026
X,2023-12-31,4,29.0,89.0,102.2,0.8225
X,2024-01-31,5,-10.91,89.88,108.22,1.3255
X,2024-02-29,6,16.17,78.91,112.21,1.217
Y,2023-09-30,1,499.37,550.53,576.07,0.1393
Y,2023-10-31,2,470.03,537.26,566.57,0.1797
Y,2023-11-30,3,439.7,514.17,652.77,0.4144
Y,2023-12-31,4,421.18,522.7,707.32,0.5474
Y,2024-01-31,5,425.17,565.27,704.41,0.494
Y,2024-02-29,6,359.06,563.11,705.8,0.6157
Z,2023-09-30,1,1989.65,2162.64,2317.45,0.1516
Z,2023-10-31,2,2015.87,2144.4,2393.0,0.1759
Z,2023-11-30,3,2002.27,2166.77,2358.89,0.1646
Z,2023-12-31,4,1951.32,2134.71,2413.65,0.2166
Z,2024-01-31,5,1786.54,2155.01,2414.78,0.2915
Z,2024-02-29,6,1778.84,2163.27,2531.8,0.3481
Equipo1,2023-09-30,1,415.56,458.3,479.0,0.1384
Equipo1,2023-10-31,2,393.06,446.45,472.03,0.1769
Equipo1,2023-11-30,3,368.07,425.21,539.2,0.4025
Equipo1,2023-12-31,4,350.17,431.47,585.52,0.5455
Equipo1,2024-01-31,5,349.03,467.55,583.73,0.502
Equipo1,2024-02-29,6,290.49,465.98,586.62,0.6355
Equipo2,2023-09-30,1,856.67,929.56,990.69,0.1442
Equipo2,2023-10-31,2,862.45,922.41,1015.71,0.1662
Equipo2,2023-11-30,3,840.84,922.97,1014.39,0.188
Equipo2,2023-12-31,4,812.64,928.4,1059.05,0.2654
Equipo2,2024-01-31,5,745.12,939.44,1041.3,0.3153
Equipo2,2024-02-29,6,718.21,940.55,1066.76,0.3706
