serie,h,modelo,MAPE,RMSE,MASE,ganador
X,3,naive,0.0785,6.2288,1.3679,True
X,3,drift,0.082,6.4789,1.432,False
X,3,arima,0.0861,6.5138,1.4535,False
X,3,ets,0.0931,7.0011,1.5499,False
X,3,sarima,0.1026,7.442,1.6518,False
X,3,lightgbm,0.1658,10.6368,2.3229,False
X,3,prophet,0.2944,20.2868,4.7054,False
X,6,arima,0.1692,11.9303,2.5303,True
X,6,sarima,0.1642,11.8313,2.5377,False
X,6,naive,0.1727,12.2218,2.5552,False
X,6,ets,0.1712,12.49,2.6476,False
X,6,drift,0.1781,12.7125,2.6654,False
X,6,lightgbm,0.2758,16.3604,3.4892,False
X,6,prophet,0.3752,25.159,5.6854,False
X,12,arima,0.24,17.1061,3.6554,True
X,12,naive,0.249,17.7204,3.7432,False
X,12,sarima,0.2522,17.8834,3.8397,False
X,12,drift,0.2634,18.6855,3.9833,False
X,12,ets,0.2873,20.236,4.2648,False
X,12,lightgbm,0.351,22.4313,4.7916,False
X,12,prophet,0.4286,29.3513,6.6352,False
Y,3,arima,0.0615,36.2832,1.3988,True
Y,3,sarima,0.065,37.8471,1.4641,False
Y,3,drift,0.0646,39.3783,1.5133,False
Y,3,naive,0.0662,39.3347,1.5184,False
Y,3,ets,0.0702,44.1777,1.7222,False
Y,3,lightgbm,0.1358,60.1997,2.7554,False
Y,3,prophet,0.2227,119.5975,5.4087,False
Y,6,arima,0.0991,60.4096,2.4282,True
Y,6,sarima,0.1034,62.0097,2.4797,False
Y,6,naive,0.1043,63.5306,2.5796,False
Y,6,drift,0.1016,64.0326,2.5811,False
Y,6,ets,0.1122,73.281,2.9575,False
Y,6,lightgbm,0.1823,89.8275,3.9426,False
Y,6,prophet,0.2293,128.7911,5.6676,False
Y,12,sarima,0.1497,95.5479,3.8578,True
Y,12,arima,0.1508,96.9723,3.9409,False
Y,12,naive,0.1569,100.4427,4.1276,False
Y,12,drift,0.1642,105.8436,4.336,False
Y,12,lightgbm,0.2078,116.3455,5.0145,False
Y,12,ets,0.1862,123.3851,5.0408,False
Y,12,prophet,0.2689,157.4733,6.88,False
Z,3,sarima,0.0353,87.7966,1.0829,True
Z,3,naive,0.0391,96.2449,1.1875,False
Z,3,arima,0.0398,98.0714,1.1963,False
Z,3,drift,0.0394,97.465,1.2004,False
Z,3,ets,0.0394,97.4652,1.2004,False
Z,3,lightgbm,0.0722,164.1582,2.127,False
Z,3,prophet,0.1553,338.1992,4.6959,False
Z,6,naive,0.0563,143.2406,1.741,True
Z,6,arima,0.0568,144.4387,1.7418,False
Z,6,drift,0.057,145.1117,1.7659,False
Z,6,ets,0.057,145.112,1.7659,False
Z,6,sarima,0.0574,146.833,1.7868,False
Z,6,lightgbm,0.0845,196.8546,2.5391,False
Z,6,prophet,0.1631,362.4167,5.0162,False
Z,12,sarima,0.0916,235.7322,2.8129,True
Z,12,naive,0.0931,236.4458,2.8477,False
Z,12,arima,0.0939,237.7007,2.8608,False
Z,12,drift,0.098,246.8457,2.9847,False
Z,12,ets,0.098,246.8459,2.9847,False
Z,12,lightgbm,0.0994,249.4064,3.0593,False
Z,12,prophet,0.1931,441.6491,5.9049,False
